time	V(vin)
1.166787157539378e-002	3.875333e+000
1.168173506258043e-002	3.959124e+000
1.169528238797574e-002	3.997256e+000
1.171290834700974e-002	3.979514e+000
1.172696343966669e-002	3.911639e+000
1.174649468966669e-002	3.744950e+000
1.176602593966669e-002	3.508691e+000
1.178555718966669e-002	3.224926e+000
1.182461968966669e-002	2.622843e+000
1.184415093966668e-002	2.360751e+000
1.186368218966668e-002	2.158358e+000
1.188010769762522e-002	2.048422e+000
1.188711038691429e-002	2.020427e+000
1.189381140715855e-002	2.004721e+000
1.190115005450945e-002	2.000163e+000
1.190787261576691e-002	2.007637e+000
1.191880652837469e-002	2.043318e+000
1.193645189932261e-002	2.159497e+000
1.195598314932261e-002	2.362372e+000
1.197551439932260e-002	2.624794e+000
1.201457689932260e-002	3.226978e+000
1.203410814932260e-002	3.510503e+000
1.205363939932260e-002	3.746353e+000
1.207317064932260e-002	3.912503e+000
1.208984155323904e-002	3.987296e+000
1.210492831213980e-002	3.997005e+000
1.211402177002959e-002	3.975842e+000
1.212876084826513e-002	3.899674e+000
1.214829209826513e-002	3.725820e+000
1.216782334826513e-002	3.484183e+000
1.218735459826513e-002	3.197330e+000
1.222641709826513e-002	2.596848e+000
1.224594834826513e-002	2.339297e+000
1.226547959826512e-002	2.143448e+000
1.228081078484902e-002	2.045085e+000
1.228763635092930e-002	2.018799e+000
1.229444524527043e-002	2.003804e+000
1.230291357967527e-002	2.001047e+000
1.231074359677195e-002	2.014206e+000
1.232346200146507e-002	2.067146e+000
1.234299325146507e-002	2.219503e+000
1.236252450146507e-002	2.444750e+000
1.238205575146507e-002	2.721850e+000
1.242111825146506e-002	3.325674e+000
1.244064950146506e-002	3.596008e+000
1.246018075146506e-002	3.810683e+000
1.247971200146506e-002	3.949649e+000
1.249345584672106e-002	3.994721e+000
1.250591887760593e-002	3.995681e+000
1.251563246260256e-002	3.970003e+000
1.253135621810318e-002	3.881134e+000
1.255088746810318e-002	3.697181e+000
1.257041871810318e-002	3.448120e+000
1.262901246810318e-002	2.559885e+000
1.264854371810318e-002	2.309252e+000
1.266807496810318e-002	2.123127e+000
1.268181311371723e-002	2.040529e+000
1.268838770925359e-002	2.016590e+000
1.269535327841065e-002	2.002663e+000
1.270427030794511e-002	2.002249e+000
1.271295140992822e-002	2.020623e+000
1.272703300366866e-002	2.088810e+000
1.274656425366866e-002	2.255780e+000
1.276609550366866e-002	2.492250e+000
1.278562675366866e-002	2.776139e+000
1.282468925366866e-002	3.378169e+000
1.284422050366866e-002	3.640089e+000
1.286375175366866e-002	3.842232e+000
1.288013505776557e-002	3.951710e+000
1.289383602340007e-002	3.995316e+000
1.290794377977053e-002	3.992225e+000
1.291892206149276e-002	3.956152e+000
1.293663686031650e-002	3.838925e+000
1.295616811031650e-002	3.635387e+000
1.297569936031650e-002	3.372511e+000
1.301476186031650e-002	2.770194e+000
1.303429311031650e-002	2.487001e+000
1.305382436031650e-002	2.251716e+000
1.307335561031650e-002	2.086312e+000
1.308381563424877e-002	2.032141e+000
1.308989392963558e-002	2.012574e+000
1.309718208684581e-002	2.000979e+000
1.310495205579099e-002	2.003024e+000
1.311406038736096e-002	2.024291e+000
1.312882314180539e-002	2.100754e+000
1.314835439180539e-002	2.274853e+000
1.316788564180539e-002	2.516673e+000
1.318741689180539e-002	2.803629e+000
1.322647939180539e-002	3.404047e+000
1.324601064180539e-002	3.661437e+000
1.326554189180539e-002	3.857057e+000
1.328083501363250e-002	3.955028e+000
1.329446713401565e-002	3.996226e+000
1.331078758159334e-002	3.985677e+000
1.332353322854951e-002	3.932451e+000
1.334306447854951e-002	3.779797e+000
1.336259572854951e-002	3.554319e+000
1.338212697854951e-002	3.277075e+000
1.342118947854951e-002	2.673268e+000
1.344072072854951e-002	2.403094e+000
1.346025197854951e-002	2.188663e+000
1.347978322854951e-002	2.050001e+000
1.348686796806914e-002	2.021200e+000
1.349351978646102e-002	2.005176e+000
1.350596915889369e-002	2.004393e+000
1.351571419894727e-002	2.030310e+000
1.353148776232789e-002	2.119845e+000
1.355101901232789e-002	2.304302e+000
1.357055026232789e-002	2.553728e+000
1.359008151232789e-002	2.844830e+000
1.362914401232789e-002	3.441969e+000
1.364867526232789e-002	3.692241e+000
1.366820651232789e-002	3.877865e+000
1.368186355114468e-002	3.959693e+000
1.369539910460194e-002	3.997390e+000
1.371297924400310e-002	3.979289e+000
1.372707796497216e-002	3.910899e+000
1.374660921497216e-002	3.743748e+000
1.376614046497216e-002	3.507141e+000
1.378567171497216e-002	3.223173e+000
1.382473421497216e-002	2.621177e+000
1.384426546497216e-002	2.359369e+000
1.386379671497216e-002	2.157387e+000
1.388015273484668e-002	2.048205e+000
1.388714405092008e-002	2.020321e+000
1.389385192981480e-002	2.004660e+000
1.390122200334079e-002	2.000184e+000
1.390798976353486e-002	2.007865e+000
1.391899671176827e-002	2.044192e+000
1.393675635003909e-002	2.162097e+000
1.395628760003909e-002	2.366063e+000
1.397581885003909e-002	2.629231e+000
1.401488135003909e-002	3.231633e+000
1.403441260003909e-002	3.514609e+000
1.405394385003909e-002	3.749527e+000
1.407347510003909e-002	3.914449e+000
1.408992775504373e-002	3.987510e+000
1.410496739128411e-002	3.996957e+000
1.411408532920167e-002	3.975624e+000
1.412886337372569e-002	3.898970e+000
1.414839462372569e-002	3.724711e+000
1.416792587372569e-002	3.482774e+000
1.418745712372569e-002	3.195751e+000
1.422651962372569e-002	2.595375e+000
1.424605087372569e-002	2.338089e+000
1.426558212372569e-002	2.142618e+000
1.428085065691991e-002	2.044899e+000
1.428766620539366e-002	2.018709e+000
1.429448126808106e-002	2.003755e+000
1.430295805261011e-002	2.001079e+000
1.431081598316779e-002	2.014398e+000
1.432357921909941e-002	2.067811e+000
1.434311046909941e-002	2.220656e+000
1.436264171909941e-002	2.446282e+000
1.438217296909941e-002	2.723619e+000
1.442123546909941e-002	3.327415e+000
1.444076671909941e-002	3.597486e+000
